EXTERNAL_PERMIT_NMBR,Number of Parameters with Slope and Near Exceedance,Parameters with Slope and Near Exceedance
CA0023051,1,81011
CA0037621,1,70
CA0037711,1,610
CA0037800,1,50060
CA0038016,2,"74056, 81011"
CA0048151,5,"34010, 1114, 1113, 39110, 34336"
CA0048160,1,400
CA0048551,1,400
CA0056014,2,"610, 70295"
CA0078051,2,"400, 610"
CA0078590,1,95
CA0079260,1,610
CA0079511,1,400
CA0079588,1,95
CA0079651,1,51061
CA0081744,1,81011
CA0084271,2,"51543, 74056"
CA0085201,1,95
CA0085235,1,400
CA0105023,1,400
CA0105350,1,70295
CA0107417,1,50050
CA0109991,1,3582
CA7000009,2,"310, 81010"
CA8000383,1,70295
